sp	activity	reference
Caesalpinia pulcherrima (L.) Sw.	Abortifacient(堕胎薬);Anthelminthic(駆虫薬、虫下し);Anti-HIV(抗HIV);Anticancer(抗ガン);Anticancer, breast(抗ガン、乳ガン);Anticancer, lung(抗ガン、肺);Anticancer, oral(抗ガン、経口);Antiinflammatory(抗炎症);Antiseptic(防腐剤);Antitubercular(抗結核);Antitussive(鎮咳薬);Antiviral(抗ウイルス薬);Astringent(収斂性);Bactericide(殺菌剤);Bechic(咳);Cathartic(下剤);Cytotoxic(細胞毒性);Emetic(催吐薬);Emmenagogue(通経薬);Febrifuge(解熱剤);Fetotoxic(胎児毒性);Fungicide(殺菌剤、防カビ剤);Gram(+)-incide(殺グラム陽性菌薬);Hemostat(止血剤);IL-12 inhibitor(IL-12阻害剤);Laxative(下剤);NO-genic(NO阻害剤、NO生成);Piscicide(殺魚剤);Purgative(下剤);Sudorific(発汗促進);TNFalpha inhibitor(TNFアルファ阻害剤);Tonic(強壮剤);Tumor promotor(腫瘍プロモーター);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brugmansia suaveolens (Humb. & Bonpl. Ex Willd.) Bercht. & J. Presl	Analgesic(鎮痛剤);Anesthetic(麻酔薬);Anthelminthic(駆虫薬、虫下し);Anticholinergic(抗コリン作用薬);Antiedemic(抗浮腫性);Antiseptic(防腐剤);Antisialagogue(抗唾液分泌促進薬);Antiviral(抗ウイルス薬);CNS-depressant(中枢神経系抑制剤);Hallucinogenic(幻覚生成);Mydriatic(散瞳薬);Narcotic(麻薬);Sedative(鎮静剤);Toxic(毒性);Vasodilator(血管拡張神経、血管拡張薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brugmansia versicolor Lagerh.	Antirheumatic(抗リウマチ剤);Antisialagogue(抗唾液分泌促進薬);Antispasmodic(鎮痙薬);Antisuppurative(抗化膿性);Decongestant(充血除去剤);Hallucinogenic(幻覚生成);Intoxicant(中毒物質);Purgative(下剤);Stimulant(興奮薬);Toxic(毒性)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brugmansia x candida Pers.	Carminative(駆風薬);CNS-depressant(中枢神経系抑制剤);Emetic(催吐薬);Hallucinogen(幻覚剤);Hallucinogenic(幻覚生成);Intoxicant(中毒物質);Narcotic(麻薬);Poison(毒);Psychotropic(向精神薬);Sedative(鎮静剤);Toxic(毒性);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brugmansia x insignis (Barb. Rodr.) Lockwood ex R. E. Schult.	Analgesic(鎮痛剤);CNS-depressant(中枢神経系抑制剤);Hallucinogen(幻覚剤);Hypnotic(睡眠薬);Narcotic(麻薬);Sedative(鎮静剤);Tranquilizer(精神安定剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brunfelsia grandiflora D. Don.	Abortifacient(堕胎薬);Alterative(体質改善剤);Anesthetic(麻酔薬);Antiblennorrhagic(抗膿漏薬);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Antiseptic(防腐剤);Aphrodisiac(媚薬);Convulsant(けいれんを起こす);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Hallucinogen(幻覚剤);Hypertensive(高血圧);Hypothermic(低体温);Laxative(下剤);Lymphotonic;Narcotic(麻薬);Piscicide(殺魚剤);Poison(毒);Purgative(下剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brunfelsia uniflora (Pohl) D. Don	Abortifacient(堕胎薬);Alterative(体質改善剤);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Antispasmodic(鎮痙薬);Antisyphilitic(駆梅薬);Antivenom (snake)(抗毒素（ヘビ）);CNS-depressant(中枢神経系抑制剤);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Hypertensive(高血圧);Hypothermic(低体温);Laxative(下剤);Lymphotonic;Narcotic(麻薬);Poison(毒);Purgative(下剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008);James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bryonia alba L.	Abortifacient(堕胎薬);Antitumor(抗腫瘍);Cytotoxic(細胞毒性);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hydragogue(駆水薬);Hypoglycemic(低血糖);Irritant(刺激物);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Toxic(毒性);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bryonia dioica Jacq.	Antitumor(抗腫瘍);Cytotoxic(細胞毒性);Diuretic(利尿薬);Emetic(催吐薬);Laxative(下剤);Toxic(毒性)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bryophyllum pinnatum (Lam.) Oken	Analgesic(鎮痛剤);Antiaggregant(抗血小板剤);Antibacterial(抗菌);Anticancer(抗ガン);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antiplaque(歯石防止);Antiprostaglandin(抗プロスタグランジン);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitussive(鎮咳薬);Cholagogue(胆汁分泌促進薬);Cicatrizant(瘢痕形成薬);Cytotoxic(細胞毒性);Diuretic(利尿薬);Emollient(緩和剤);Expectorant(去痰薬);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Immunomodulator(免疫修飾因子);Lipoxygenase inhibitor(リポキシゲナーゼ阻害剤);Panacea(万能薬);Spasmogenic(収縮刺激性);Vasoconstrictor(血管収縮薬);Vulnerary(傷薬、外傷にきく)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bulnesia sarmientoi Lorentz ex Griseb. 	Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antioxidant(酸化防止剤);Antiseptic(防腐剤);Bactericide(殺菌剤);Sudorific(発汗促進)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brassica nigra (L.) W.D.J. Koch	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Antidote (narcotics)(解毒剤、麻薬);Antifertility(避妊);Aperitif(食前酒);Carminative(駆風薬);Diuretic(利尿薬);Emetic(催吐薬);Gastrotonic(胃強壮薬);Laxative(下剤);Pancreatonic(膵臓強壮薬);Rubefacient(発赤剤);Stimulant(興奮薬);Stomachic(健胃薬);Vesicant(発疱薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brassica oleracea L. var. gemmifera Zenker	Antiatherosclerotic(抗アテローム硬化性);Antimaculitic;Antinitrosaminic(抗ニトロソアミン);Antinyctalopic(抗夜盲);Antioxidant(酸化防止剤);Antiproliferative(抗増殖性);Antiradicular(抗神経根);Antiretinitic;Antitumor, breast(抗腫瘍、乳房);Antitumor, colon(抗腫瘍、結腸);Antitumor, lung(抗腫瘍、肺);Antitumor, skin(抗腫瘍、皮膚);Antiviral(抗ウイルス薬);Detoxicant(解毒剤);Estrogenic(エストロゲン);Glucuronidase iInhibitor(グルクロニダーゼ阻害剤);Goitrogenic(甲状腺腫を誘発するような);Hypocholesterolemic(低コレステロール血);Prooxidant(酸化促進剤);Quinone reductase inducer(キノン還元酵素誘導)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brassica oleracea L. var. italica Plenck	Antiatherosclerotic(抗アテローム硬化性);Antibacterial(抗菌);Antimaculitic;Antinitrosaminic(抗ニトロソアミン);Antinyctalopic(抗夜盲);Antioxidant(酸化防止剤);Antiproliferative(抗増殖性);Antiradicular(抗神経根);Antiretinitic;Antitumor, breast(抗腫瘍、乳房);Antitumor, colon(抗腫瘍、結腸);Antitumor, lung(抗腫瘍、肺);Antitumor, skin(抗腫瘍、皮膚);Antiviral(抗ウイルス薬);Detoxicant(解毒剤);Estrogenic(エストロゲン);Glucuronidase iInhibitor(グルクロニダーゼ阻害剤);Goitrogenic(甲状腺腫を誘発するような);Hypocholesterolemic(低コレステロール血);Prooxidant(酸化促進剤);Quinone reductase inducer(キノン還元酵素誘導)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bletilla striata (Thunb.) Rchb. F.	Antibacterial(抗菌);Antitussive(鎮咳薬);Astringent(収斂性);Bechic(咳);Bitter(苦味);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Embolizer(塞栓形成因子);Expectorant(去痰薬);Insecticide(殺虫剤);Pulmonotonic	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Anthurium schlechtendalii Kunth	Analgesic(鎮痛剤);Antiedemic(抗浮腫性)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brassica oleracea var. botrytis L.	Antiatherosclerotic(抗アテローム硬化性);Antibacterial(抗菌);Antimaculitic;Antinitrosaminic(抗ニトロソアミン);Antinyctalopic(抗夜盲);Antioxidant(酸化防止剤);Antiproliferative(抗増殖性);Antiradicular(抗神経根);Antiretinitic;Antitumor, breast(抗腫瘍、乳房);Antitumor, colon(抗腫瘍、結腸);Antitumor, lung(抗腫瘍、肺);Antitumor, skin(抗腫瘍、皮膚);Antiviral(抗ウイルス薬);Detoxicant(解毒剤);Estrogenic(エストロゲン);Glucuronidase iInhibitor(グルクロニダーゼ阻害剤);Goitrogenic(甲状腺腫を誘発するような);Hypocholesterolemic(低コレステロール血);Prooxidant(酸化促進剤);Quinone reductase inhibitor(キノン還元酵素阻害剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brassica oleracea var. capitata L.	Allergenic(アレルギー生成);Anthelminthic(駆虫薬、虫下し);Antibacterial(抗菌);Antidote (mushroom)(解毒剤、キノコ);Antiscorbutic(抗壊血病);Antiseptic(防腐剤);Antiulcerogenic(抗潰瘍);Astringent(収斂性);Bitter(苦味);Cardiotonic(強心剤);Diuretic(利尿薬);Emollient(緩和剤);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤);Goitrogenic(甲状腺腫を誘発するような);Hypocholesterolemic(低コレステロール血);Hypoglycemic(低血糖);Laxative(下剤);Monooxygenase inducer(モノオキシゲナーゼ誘導剤);Nematocide(抗線虫剤);Pectoral(胸筋);Stomachic(健胃薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brassica oleracea var. viridis L. etc.	Antiatherosclerotic(抗アテローム硬化性);Antimaculitic;Antinitrosaminic(抗ニトロソアミン);Antinyctalopic(抗夜盲);Antioxidant(酸化防止剤);Antiproliferative(抗増殖性);Antiradicular(抗神経根);Antiretinitic;Antitumor, breast(抗腫瘍、乳房);Antitumor, colon(抗腫瘍、結腸);Antitumor, lung(抗腫瘍、肺);Antitumor, skin(抗腫瘍、皮膚);Antiviral(抗ウイルス薬);Detoxicant(解毒剤);Estrogenic(エストロゲン);Glucuronidase inhibitor(グルクロニダーゼ阻害剤);Goitrogenic(甲状腺腫を誘発するような);Hypocholesterolemic(低コレステロール血);Prooxidant(酸化促進剤);Quinone reductase inducer(キノン還元酵素誘導)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brassica rapa L. ssp. Campestris (L.) A. R. Clapham	Antibacterial(抗菌);Antiscorbutic(抗壊血病);Antiseptic(防腐剤);Cardiotoxic(心臓毒性);Fungicide(殺菌剤、防カビ剤);Laxative(下剤);Parasiticide(虫下し、駆虫薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bridens pilosa L.	Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Antiangiogenic(抗血管新生);Anticancer(抗ガン);Antidermatophytic(抗糸状菌);Antidiabetic(抗糖尿病薬);Antidote(解毒剤);Antiedemic(抗浮腫性);Antiemetic(制吐剤);Antiherpetic(抗ヘルペス);Antihyperglycemic(血糖降下);Antihypertensive(降圧剤);Antiinflammatory(抗炎症);Antilactagogue(抗催乳薬);Antioxidant(酸化防止剤);Antiparasitic(抗寄生虫性);Antiplasmodial(抗変形菌);Antiprostaglandin(抗プロスタグランジン);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitubercular(抗結核);Antiulcerogenic(抗潰瘍);Antiviral(抗ウイルス薬);Apoptotic(アポトーシス);Astringent(収斂性);Bactericide(殺菌剤);Bitter(苦味);Calcium antagonist(カルシウム拮抗薬);Candidicide;Cholagogue(胆汁分泌促進薬);Cyclooxygenase COX inhibitor(シクロオキシゲナーゼ阻害剤);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Cytotoxic(細胞毒性);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Gram(+)-incide(殺グラム陽性菌薬);Hemostat(止血剤);Hepatoprotective(肝保護);Hypocholesterolemic(低コレステロール血);Hypoglycemic(低血糖);Hypotensive(低血圧);Hypotriglyceridemic(低トリグリセリド);Immunomodulator(免疫修飾因子);Immunosuppressive(免疫抑制);iNOS inhibitor(iNOS阻害剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Mycobactericide(殺マイコプラズマ菌性);Myorelaxant(筋肉弛緩薬);Nematocide(抗線虫剤);NF-kB inhibitor(NF-kB阻害剤);NO-genic(NO阻害剤、NO生成);Pectoral(胸筋);Phototoxic(光毒性);Plasmodicide(抗マラリア薬);Prostaglandin E2 inhibitor(プロスタグランジンE2阻害剤);Protisticide(原生生物駆除剤);Sedative(鎮静剤);Sialogogue(唾液分泌促進薬);Stimulant(興奮薬);Thrombolytic(血栓溶解);Tonic(強壮剤);Tranquilizer(精神安定剤);Uterotonic(子宮収縮薬);Vasodilator(血管拡張神経、血管拡張薬);Vasorelaxant(血管平滑筋弛緩);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bromelia plumieri (E. Morren) L. B. Sm	Abortifacient(堕胎薬);Anthelminthic(駆虫薬、虫下し);Antidiabetic(抗糖尿病薬);Antiscorbutic(抗壊血病);Antispasmodic(鎮痙薬);Cytotoxic(細胞毒性);Diuretic(利尿薬);Emmenagogue(通経薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hypotensive(低血圧);Irritant(刺激物);Myorelaxant(筋肉弛緩薬);Vasodilator(血管拡張神経、血管拡張薬);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Brosimum acutifolium Huber	Analgesic(鎮痛剤);Anthelminthic(駆虫薬、虫下し);Antianemic(抗貧血);Antiarthritic(抗関節炎薬);Anticancer(抗ガン);Anticancer, colon(抗ガン、結腸);Anticancer, lung(抗ガン、肺);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antirheumatic(抗リウマチ剤);Antisyphilitic(駆梅薬);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Appetant;Bactericide(殺菌剤);Candidicide;Cytotoxic(細胞毒性);Depurative(浄化作用);Fungicide(殺菌剤、防カビ剤);Protein kinase A inhibitor(プロテインキナーゼA阻害剤);Protein kinase C inhibitor(プロテインキナーゼC阻害剤);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Blainvillea acmella (L.) Philipson	Anesthetic(麻酔薬);Antidote(解毒剤);Antiinflammatory(抗炎症);Carminative(駆風薬);Depurative(浄化作用);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Hemostat(止血剤);Insecticide(殺虫剤);Kaliuretic(カリウム利尿);Larvicide(幼虫駆除剤);Litholytic(結石溶解);Mosquitocide(防蚊剤);Natriuretic(ナトリウム排泄増加性);Panacea(万能薬);Piscicide(殺魚剤);Purgative(下剤);Sialogogue(唾液分泌促進薬);Stimulant(興奮薬);Tonic(強壮剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Araucaria araucana (Molina) K. koch	Aphrodisiac(媚薬);Bactericide(殺菌剤);Cytotoxic(細胞毒性);Diuretic(利尿薬);Fungicide(殺菌剤、防カビ剤);Gastroprotective(胃保護剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Abrus precatorius L.	Abortifacient(堕胎薬);Alexeteric(解毒作用);Analgesic(鎮痛剤);Antiestrogenic(抗エストロゲン性);Antifertility(避妊);Antihistaminic(抗ヒスタミン薬);Antiinflammatory(抗炎症);Antitumor(抗腫瘍);Aphrodisiac(媚薬);Cerebrotonic(頭脳型);Cicatrizant(瘢痕形成薬);CNS-depressant(中枢神経系抑制剤);Contraceptive(避妊薬);Cytotoxic(細胞毒性);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emollient(緩和剤);Expectorant(去痰薬);Hemolytic(溶血性);Hemostat(止血剤);Hypotensive(低血圧);Irritant(刺激物);Negative chronotropic(陰性変時);Negative inotropic(陰性変力作用);Parasympathomimetic(副交感神経作用);Poison(毒);Pressor(血圧増進);Propecic;Schistosomacide(殺住血吸虫薬);Teratogenic(催奇形性);Tonic(強壮剤);Uterotonic(子宮収縮薬);Vermicide(駆虫剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Aethusa cynapium L.	Antispasmodic(鎮痙薬);Hallucinogen(幻覚剤);Poison(毒);Sedative(鎮静剤);Stomachic(健胃薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bocconia frutescens L.	Abortifacient(堕胎薬);Analgesic(鎮痛剤);Anesthetic(麻酔薬);Angiotensin receptor blocker(アンジオテンシン受容体ブロッカー);Antiarrhythmic(不整脈治療剤);Antidepressant(抗鬱剤);Antiinflammatory(抗炎症);Antisecretory(抗分泌);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Astringent(収斂性);Cardiotonic(強心剤);Caustic(腐食剤);Clastogenic(染色体異常誘発);Emetic(催吐薬);Fungicide(殺菌剤、防カビ剤);Hemostat(止血剤);Hypnotic(睡眠薬);Hypotensive(低血圧);Insecticide(殺虫剤);MAO inhibitor(モノアミン酸化酵素阻害剤);Parasiticide(虫下し、駆虫薬);Poison(毒);Purgative(下剤);Rubefacient(発赤剤);Sedative(鎮静剤);Sialogogue(唾液分泌促進薬);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Boerhavia diffusa L.	Abortifacient(堕胎薬);Adaptogenic(強壮効果);Alexeteric(解毒作用);Amebicide(抗アメーバ薬);Analgesic(鎮痛剤);Angiotensin converting enzyme inhibitor(ACE阻害薬);Anthelminthic(駆虫薬、虫下し);Antibilious(抗胆汁症);Anticancer(抗ガン);Anticancer, lung(抗ガン、肺);Anticancer, skin(抗ガン、皮膚);Anticonvulsant(抗けいれん薬、抗痙攣薬);Antidemic(腫れ抑制);Antidiabetic(抗糖尿病薬);Antidiuretic(抗利尿薬);Antifibrinolytic(抗線維素溶解薬);Antihyperlipidemic(抗脂質異常症);Antimelanomic(抗黒皮症);Antimetastatic(抗転移);Antioxidant(酸化防止剤);Antiperoxidant(抗過酸化物質);Antiproliferative(抗増殖性);Antiseptic(防腐剤);Antispasmodic(鎮痙薬);Antitumor(抗腫瘍);Antiviral(抗ウイルス薬);Aphrodisiac(媚薬);Bactericide(殺菌剤);Calcium antagonist(カルシウム拮抗薬);Cardiodepressant(心抑制);Cardiotonic(強心剤);Carminative(駆風薬);Chemopreventive(化学防御);Cholagogue(胆汁分泌促進薬);Contraceptive(避妊薬);Cortisolytic;Depurative(浄化作用);Detoxicant(解毒剤);Diaphoretic(発汗剤);Diuretic(利尿薬);Emetic(催吐薬);Emmenagogue(通経薬);Expectorant(去痰薬);Febrifuge(解熱剤);Fungicide(殺菌剤、防カビ剤);Hematogenic(造血);Hemostat(止血剤);Hepatoprotective(肝保護);Hepatotonic;Hyperglycemic(高血糖性);Hypertensive(高血圧);Hypoglycemic(低血糖);Hypotensive(低血圧);Hypouricemic(低尿酸血症);Immunomodulator(免疫修飾因子);Immunosuppressant(免疫抑制剤);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);MMP2 inhibitor(MMP2阻害剤);MMP9 inhibitor(MMP9阻害剤);Myodepressant(筋肉抑制薬);Negative chronotropic(陰性変時);Ophthalmia(眼結膜炎、眼炎);Orexigenic(食欲刺激[促進]物質);Parasiticide(虫下し、駆虫薬);Purgative(下剤);Stimulant(興奮薬);Stomachic(健胃薬);Sudorific(発汗促進);Tonic(強壮剤);Vermicide(駆虫剤)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Borago officinalis L.	Adrenocortical stimulant(副腎皮質刺激剤);Analgesic(鎮痛剤);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antispasmodic(鎮痙薬);Aperient(緩下剤);Astringent(収斂性);Carcinogenic(発ガン性);Cardiotonic(強心剤);Collyrium(洗眼液);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emollient(緩和剤);Expectorant(去痰薬);Genotoxic(遺伝毒性);Hepatocarcinogenic(肝臓ガン誘発);Hepatotoxic(肝毒性);Hypotensive(低血圧);Lactagogue(乳汁分泌促進物質、催乳物質、催乳薬);Laxative(下剤);Nervine(神経鎮静薬);Pectoral(胸筋);Sedative(鎮静剤);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Boswellia sacra Flueck.	Abortifacient(堕胎薬);Abscess(膿瘍);Alterative(体質改善剤);Alzheimer's disease(アルツハイマー病);Analgesic(鎮痛剤);Anticomplement(抗補体);Antidote (hemlock)(解毒剤、ドクニンジン);Antiseptic(防腐剤);Anxiety(不安症);Arthorosis(関節症);Asthma(喘息);Astringent(収斂性);Backache(背中の痛み);Bilharzia(住血吸虫の寄生による感染症);Bleeding(出血);Boil(おでき);Bronchosis(気管支炎);Bruise(打撲傷);Callus(皮膚硬結、たこ);Cancer(ガン);Cancer, anus(ガン、肛門);Cancer, breast(ガン、胸部);Cancer, eye(ガン、目);Cancer, penis(ガン、陰茎);Cancer, spleen(ガン、脾臓);Cancer, teat(ガン、乳首);Cancer, testicle(ガン、睾丸);Carbuncle(癰、カルブンケル);Carminative(駆風薬);Colitis(大腸炎);Cough(咳);Cramp(けいれん、ひきつり);Crohn's Disease(クローン病);Depilatory(脱毛剤);Dermatosis(皮膚病);Digestive(消化器);Diuretic(利尿薬);Dysentery(赤痢);Dysmenorrhea(月経困難);Dyspepsia(消化不良、胃弱);Edema(水しゅ、浮腫);Emmenagogue(通経薬);Expectorant(去痰薬);Fever(発熱);Fumigant(燻蒸剤);Gingivosis(歯肉症);Gonorrhea(淋病);Hemorrhoids(痔核);Infection(感染);Inflammation(炎症);Irritant(刺激物);Laryngosis;Leprosy(癩);Leukemia(白血病);Mastosis;Memorigenic;Meningioma(髄膜腫);Myelosis(骨髄性白血病);Neurosis(神経症);Ophthalmia(眼結膜炎、眼炎);Orchosis;Pain(痛み);Polio(ポリオ);Polyp(ポリプ、隆起性病変);Proctosis;Psychosis(精神病);Rheumatism(リウマチ);Sedative(鎮静剤);Sore(潰瘍);Spermatorrhea(精液漏);Splenosis(脾症);Stimulant(興奮薬);Stomachache(胃痛、腹痛);Stomatosis(口腔病、口腔症);Swelling(膨潤);Syphilis(梅毒);Tonic(強壮剤);Tumor(腫瘍);Ulcer(潰瘍);Urinary tract infections(尿路感染症);Urogenitosis;Uterosis;Vaginosis(膣症);Venereal disease(性行為感染症);Vomiting(嘔吐);Water Retention(水保持);Wound(創傷)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002);James A Duke with Mary Jo Bogenschutz-Godwin,Judi duCellier,Peggy-Ann K.Duke(Illustrator),CRC HANDBOOK OF Medicinal Spices,CRC PRESS(2002)
Boswellia serrata Roxb. Ex Colebr.	5-Lipoxygenase inhibitor(5リポキシゲナーゼ阻害剤);Analgesic(鎮痛剤);Antiallergic(抗アレルギー);Antialzheimeran(抗アルツハイマー);Antiarthritic(抗関節炎薬);Antiasthmatic(抗ぜんそく);Anticancer(抗ガン);Anticomplement(抗補体);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antileukemic(抗白血病);Antileukotriene(抗ロイコトリエン);Antipyretic(解熱薬);Antirheumatic(抗リウマチ剤);Astringent(収斂性);Carmnative;CNS-depressant(中枢神経系抑制剤);Collyrium(洗眼液);Cyclooxygenase COX-2 inhibitor(シクロオキシゲナーゼ-2-阻害剤);Demulcent(皮膚の炎症または傷を沈静化する（油脂や軟膏等の形態の）薬物);Depurative(浄化作用);Diaphoretic(発汗剤);Diuretic(利尿薬);Emmenagogue(通経薬);Expectorant(去痰薬);Hepatotonic;Hypoglycemic(低血糖);Pectoral(胸筋);Propecic;Sedative(鎮静剤);Stomachic(健胃薬);Tonic(強壮剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Bourreria succulenta Jacq.	Antiinflammatory(抗炎症);Antiseptic(防腐剤);Aphrodisiac(媚薬);Emollient(緩和剤);Fungicide(殺菌剤、防カビ剤);Hematogenic(造血);Hemostat(止血剤);Hypotensive(低血圧);Sedative(鎮静剤);Tonic(強壮剤);Tranquilizer(精神安定剤);Vulnerary(傷薬、外傷にきく)	James A. Duke,Duke's handbook of medicinal plants of Latin America,CRC Press(2008)
Bowiea volubilis Harv. Ex Hook. F.	Cardiotonic(強心剤);Collyrium(洗眼液);Emetic(催吐薬);Irritant(刺激物);Laxative(下剤);Philtre(媚薬);Poison(毒);Rodenticide(殺鼠剤)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
Brassica juncea (L.) Czern., B. nigra (L.) W. D. J. Koch, and Sinapis alba L.	Abortifacient(堕胎薬);Allergenic(アレルギー生成);Analgesic(鎮痛剤);Antibacterial(抗菌);Antidote (narcotic)(解毒剤、麻薬);Antidysenteric(抗赤痢);Antiedemic(抗浮腫性);Antiinflammatory(抗炎症);Antipyretic(解熱薬);Antiseptic(防腐剤);Antitumor(抗腫瘍);Aperitif(食前酒);Canifuge (dog repellant)(犬忌避剤);Carminative(駆風薬);Counterirritant(反対刺激);Decongestant(充血除去剤);Diaphoretic(発汗剤);Digestive(消化器);Diuretic(利尿薬);Emetic(催吐薬);Expectorant(去痰薬);Felifuge (cat repellant)(猫忌避剤);Fungicide(殺菌剤、防カビ剤);Gastrostimulant(胃刺激物);Goitrogenic(甲状腺腫を誘発するような);Hemostat(止血剤);Hyperemic(充血);Laxative(下剤);Pancreatonic(膵臓強壮薬);Parasiticide(虫下し、駆虫薬);Rubefacient(発赤剤);Secretagogue(分泌促進物質、分泌促進剤);Stimulant(興奮薬);Vermicide(駆虫剤);Vesicant(発疱薬)	James A. Duke,Handbook of Medicinal Herbs 2nd Ed.,CRC Press(2002)
