cid	metabolite	category	function	targetsp	reference
C00000152	p-Coumaric acid	Choleretic	Choleretic		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Cytotoxic	Cytotoxic inactive, Colon205-L5 cells		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Cytotoxic	Cytotoxic inactive, HT1080 cells		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Salmonella aertrycke ATCC14028 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Staphylococcus aureus ATCC25953 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Antibacterial	Antibacterial, broad spectrum		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Higa, et al., Chem Pharm Bull, 50, (2002), 590.
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Antifungal	Antifungal	Aspergillus flavus	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Higa, et al., Chem Pharm Bull, 50, (2002), 590.
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Antifungal	antifungal activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Anti-HSV	antiviral activity	HSV-1 virus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Staphylococcus epidermidis ATCC12228 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Streptococcus mutans ATCC25175 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Streptococcus pyogens ATCC19615 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Vibrio vulnifics ATCC29307 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antifungal	antifungal activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42
C00000136	1,8-Cineole;Eucalyptol	Anti-inflammatory	Anti-inflammatory, no detail information		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Zea mays	Watts,Ann.Bot.,47,(1981),595-602
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Bacillus coli O157:H7 ATCC43894 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Bacillus pyocyaneus ATCC27853 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Enhance leaf growth	promote leaf growth	Lycopersicon esculentum	Weston,HortSci.,11,(1976),22-23
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Citrobacter freundii ATCC8090 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Enterobacter cloacae ATCC23350 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Enterococcus faecalis ATCC33186 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Enterococcus gallinarum CDC-42 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antipyretic	Antipyretic		Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Lycopersicon esculentum	Aung,HortSci.,9,(1974),76-77
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit leaf growth	inhibit leaf growth	Phaseolus vulgaris	Van Volkenburgh,J.Exp.Bot.,34,(1983),835-845;Neumann,J.Exp.Bot.,42,(1991),1499-1506
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Klebsiella pneumoniae ATCC13883 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antiseptic	antiseptic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48
C00000136	1,8-Cineole;Eucalyptol	Expectorant	expectorant activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48
C00000136	1,8-Cineole;Eucalyptol	Flavor	used as a flavouring		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48
C00000136	1,8-Cineole;Eucalyptol	Repellent	repellent activity	Blattaria	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter48
C00000137	(R)-7-Methylsulfinyl heptyl isothiocyanate	Allelopathic	allelopathic activity		
C00000138	(R)-8-Methylsulfinyloctyl isothiocyanate	Allelopathic	allelopathic activity		
C00000143	3-Hydroxyuridine	Allelopathic	allelopathic activity		Ohigashi,Phytochemistry,28,(1989),1365-1368
C00000143	3-Hydroxyuridine	Inhibit root growth	inhibit root growth	Cucumis sativus	Ohigashi,Phytochemistry,28,(1989),1365-1368
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Antineoplastic	Antineoplastic, no description on tumor types		Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Higa, et al., Chem Pharm Bull, 50, (2002), 590.
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Antiviral	Antiviral	influenza virus A	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Higa, et al., Chem Pharm Bull, 50, (2002), 590.
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Antiviral	Antiviral	influenza virus B	Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Higa, et al., Chem Pharm Bull, 50, (2002), 590.
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Feeding deterrent	feeding deterrent	Scolytus multistriatus	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Molluscicidal	molluscicidal activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Sedative	sedative activity	Mammalia	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43
C00000144	5-Hydroxy-1,4-naphthoquinone;Juglone	Sedative	sedative activity	Pisciformes	Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter43
C00000146	(+)-Bottrospicatol	Allelopathic	allelopathic activity		
C00000147	cis-p-Menthane-3,8-diol	Allelopathic	allelopathic activity		
C00000147	cis-p-Menthane-3,8-diol	Inhibit germination	inhibit germination	Lactuca sativa	Nishimura,Phytochemistry,23,(1984),2777-2779
C00000147	cis-p-Menthane-3,8-diol	Inhibit germination	inhibit germination	Lepidium sativum	Nishimura,Phytochemistry,23,(1984),2777-2779
C00000147	cis-p-Menthane-3,8-diol	Inhibit germination	inhibit germination	Setaria viridis	Nishimura,Phytochemistry,23,(1984),2777-2779
C00000147	cis-p-Menthane-3,8-diol	Inhibit plant growth	inhibit growth	Lactuca sativa	Nishimura,Phytochemistry,23,(1984),2777-2779
C00000147	cis-p-Menthane-3,8-diol	Inhibit plant growth	inhibit growth	Lepidium sativum	Nishimura,Phytochemistry,23,(1984),2777-2779
C00000147	cis-p-Menthane-3,8-diol	Inhibit plant growth	inhibit growth	Setaria viridis	Nishimura,Phytochemistry,23,(1984),2777-2779
C00000148	trans-p-Menthane-3,8-diol	Allelopathic	allelopathic activity		
C00000149	Spathulenol	Allelopathic	allelopathic activity		
C00000150	D-beta-Phenyllactic acid	Allelopathic	allelopathic activity		
C00000151	2-Furoic acid	Allelopathic	allelopathic activity		
C00000152	p-Coumaric acid	Allelopathic	allelopathic activity		Harborne,Phytochemical Dictionary Second Edition,Taylor and Francis,(1999),Chapter42
C00000134	(s)-(+)-Abscisic acid;2,4-Pentadienoic acid	Inhibit plant growth	inhibit protonema growth	Mohria caffrorum	Chia,New Phytol.,92,(1982),31-37
C00000152	p-Coumaric acid	Antibacterial	Antibacterial	Bacillus coli ATCC25922 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;McNally, et al., Journal of Natural Products, 66, (2003), 1280.;Wu, et al., Journal of Natural Products, 66, (2003), 996.;CHIU, et al., Chem Pharm Bull, 53, (2005), 1118.;Kim, et al., Phytochemistry, 54, (2000), 503.;Ali, et al., Journal of Natural Products, 64, (2001), 289.;Wu, et al., Chem Pharm Bull, 53, (2005), 56.;Sun, et al., Brief Handbook of Natural Active Compounds, Medicinal Science and Technology Press of China, Beijing, (1998).;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Li, et al., China Journal of Chinese Materia Medica(Zhongguo Zhongyao Zazhi), 22, (1997), 548.;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Citrobacter freundii ATCC8090 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Enterobacter cloacae ATCC23350 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
C00000136	1,8-Cineole;Eucalyptol	Antibacterial	Antibacterial	Enterococcus faecalis ATCC33186 strain	Ou, et al., Brief Handbook of Components of Traditional Chinese Medicines, The People's Medical Publishing House, Beijing, (2003).;Kim, et al., Planta Med, 69, (2003), 274.;Chinese Materia Medica Editing Committee of the National Chinese Medicine and Pharmacology Bureau, Chinese Materia Medica (ZHONG HUA BEN CAO), Vol.1-Vol.30, Shanghai Science and technology Press, Shanghai, (1999).;Yin, et al., Modern Study of Chinese Drugs and Clinical Applications (1), Xueyuan Press, Beijing, (1993).
